gender,median_home_val,ic2,ic3,avggift,target_d
M,1158.437751,430,466,28,100
M,537,415,410,5.666666667,7
F,725,340,361,4.111111111,5
M,1158.437751,407,399,27.27777778,38
F,995,280,316,6,5
M,764,477,480,25.57142857,30
M,890,525,551,6.175,7
F,1158.437751,206,235,8.818181818,10
F,1569,672,785,13,5
F,3515,565,549,8.64,10
F,1026,470,491,11.25,10
F,890,474,512,11.28571429,15
F,1513,599,615,18.5,28
F,948,365,368,15,15
F,258,60,93,5.45,6
F,1040,609,579,11.66666667,15
F,603,264,288,5,5
F,526,336,317,7.142857143,10
M,717,458,349,9.7,25
M,1011,588,650,6.5,15
M,1063,260,312,8.372790698,5
M,291,168,180,10.61111111,10
M,1538,317,342,5.5,5
F,592,341,306,12.5,5
M,871,385,365,7.857142857,10
M,403,240,201,8,10
F,715,378,371,6,7.5
F,2346,446,468,15.5,21
M,559,270,257,12.61111111,20
M,1158.437751,457,450,12.25,20
F,596,168,181,16.5,15
M,706,376,379,15,25
F,878,517,433,10.13333333,16
F,1275,453,500,6.6,10
F,2362,632,655,8.928571429,5
M,2531,730,696,8.272727273,11
F,2089,296,322,7.125,5
F,832,338,348,10,10
M,1458,354,356,6.181818182,10
F,1590,238,262,13.5,15
F,613,245,294,11.83333333,25
F,477,282,292,5.875,10
F,424,256,230,4.863636364,6
M,383,256,359,13.82352941,15
M,688,466,457,11.06666667,18
M,3500,260,463,15.66666667,24
F,2143,353,328,9.260869565,14
F,625,466,362,14.09090909,20
M,1560,488,487,15,21
F,1247,313,350,26.33333333,41
M,611,323,302,15,20
F,1431,390,315,13,5
F,1089,520,480,5.2,16
F,435,298,281,15,15
F,1409,405,377,12.66666667,12
M,647,422,401,9.5,10
M,415,308,242,8.333333333,10
F,492,384,276,8.75,14
M,1043,682,731,13.25,20
M,3668,693,781,15,15
M,3491,828,853,20,20
F,192,211,186,5.866666667,10
M,0,0,0,20.26086957,25
F,428,318,245,11.25,10
F,417,283,160,7.75,11
F,399,315,336,6.818181818,16
F,2377,637,652,9.111111111,10
F,2016,465,459,8.75,15
F,933,332,349,8.142857143,7
