HV1,IC1,IC2,IC3,IC4,IC5,AVGGIFT,TARGET_D
2000.0,458,453,495,469.0,19217,13.51111111,38.0
817.0,213,256,240,236.0,8518,12.22222222,10.0
1866.0,405,423,394,407.0,15709,23.85714286,37.0
1174.0,268,282,298,283.0,10427,10.4,12.0
3048.0,470,557,562,530.0,31631,8.222222222000001,15.0
2175.0,68,138,96,101.0,9127,8.333333332999999,10.0
1086.0,334,370,391,365.0,15432,3.655172414,3.0
1560.0,344,411,398,384.0,16580,20.0,20.0
972.0,347,414,400,387.0,17541,7.285714286,8.0
1094.0,395,417,414,409.0,13714,5.266666667,5.0
902.0,219,246,261,242.0,8728,10.0,15.0
2399.0,588,609,610,602.0,19738,10.7,10.0
557.0,245,310,286,280.0,12777,4.904761905,7.0
1483.0,497,509,523,510.0,17961,17.09090909,18.0
1418.0,351,386,352,363.0,13340,13.25,25.0
874.0,302,310,346,319.0,12070,4.344827586,4.0
1490.0,384,420,435,413.0,17806,6.533333333,14.0
2638.0,71,185,105,120.0,7591,15.0,15.0
787.0,339,394,380,371.0,13370,4.5,5.0
1033.0,406,502,453,454.0,16625,3.5185185189999997,3.0
1218.0,452,495,515,487.0,21946,10.13333333,13.0
1083.0,205,219,278,234.0,10286,16.42857143,25.0
3397.0,677,695,734,702.0,25398,15.0,15.0
426.0,256,269,276,267.0,9572,6.1111111110000005,6.0
1083.0,306,314,321,314.0,11140,10.91666667,18.0
540.0,225,253,249,242.0,9634,4.9,4.0
1003.0,411,420,468,433.0,14066,4.258064516,5.0
837.0,230,219,261,237.0,11087,4.5921052630000005,5.0
3927.0,284,455,343,361.0,24240,11.85714286,19.0
2512.0,613,632,655,633.0,21179,8.928571429,5.0
1275.0,327,461,387,392.0,17723,10.54545455,12.0
921.0,431,451,455,446.0,14845,7.428571429,9.0
1046.0,366,409,399,391.0,13901,9.818181818,10.0
1536.0,237,304,257,266.0,9875,9.5,20.0
480.0,202,232,243,226.0,9288,7.909090909,8.0
746.0,168,201,218,196.0,11971,12.5,10.0
1324.0,360,364,396,373.0,15002,7.5,10.0
1000.0,357,394,391,381.0,15428,10.77777778,10.0
1110.0,320,354,368,347.0,18361,9.090909091,10.0
898.0,371,453,419,414.0,16242,11.5,10.0
982.0,451,462,443,452.0,17756,12.7,10.0
1355.0,246,459,345,350.0,19319,4.176470588,5.0
2296.0,906,924,931,920.0,29903,7.2,8.0
1583.0,615,626,651,631.0,22163,13.33333333,15.0
492.0,174,228,217,206.0,8356,5.857142857,5.0
1172.0,318,394,362,358.0,14570,4.222222222,10.0
995.0,364,382,400,382.0,11401,8.6,15.0
1769.0,321,405,377,368.0,15611,12.66666667,12.0
1664.0,411,477,483,457.0,18678,20.875,10.0
1146.0,277,284,300,287.0,8189,5.25,5.0
749.0,254,348,297,300.0,12966,7.894736842,7.0
360.0,99,156,153,136.0,6133,3.260869565,4.0
2028.0,523,526,564,538.0,16084,6.785652174,5.0
1224.0,206,231,248,228.0,9104,13.55555556,23.0
3083.0,426,444,439,436.0,16702,10.33333333,38.0
805.0,154,163,180,166.0,6724,6.909090909,8.0
926.0,204,210,238,217.0,11936,11.26666667,10.0
5422.0,522,546,677,582.0,35022,4.814814815,3.0
835.0,192,303,263,253.0,11878,6.285714286,10.0
1752.0,434,566,495,498.0,21023,21.27027027,25.0
1081.0,307,318,332,319.0,12060,5.090909091,5.0
525.0,145,138,189,157.0,8278,3.576923077,5.0
953.0,413,429,447,430.0,15002,4.069767442,5.0
1159.0,262,304,339,302.0,13486,11.25,15.0
2299.0,154,163,215,177.0,6449,13.85714286,10.0
2239.0,275,296,322,298.0,10484,7.125,5.0
815.0,258,276,302,279.0,11337,5.857142857,10.0
1721.0,309,315,403,342.0,13910,10.0,12.0
1086.0,293,365,336,331.0,13802,9.384615385,13.0
1931.0,451,466,494,470.0,17987,17.83333333,25.0
2507.0,310,381,383,358.0,23204,18.0,40.0
3661.0,373,452,421,415.0,23187,5.466666667,5.0
895.0,248,274,288,270.0,15936,6.125,10.0
575.0,115,154,177,149.0,5058,6.214285714,6.0
998.0,164,201,250,205.0,10618,10.625,10.0
1539.0,179,282,239,233.0,11722,16.0,37.0
1636.0,304,369,355,343.0,15193,27.5,10.7
887.0,259,378,318,318.0,12827,3.1612903230000002,3.0
1610.0,629,633,659,640.0,21821,4.0,5.0
1558.0,390,469,432,430.0,17886,3.285714286,5.0
1663.0,363,416,436,405.0,18860,12.46076923,15.0
693.0,250,288,313,284.0,11462,5.777777778,6.0
1678.0,473,527,515,505.0,20092,13.66666667,21.0
1319.0,205,233,285,241.0,9311,15.0,20.0
846.0,248,297,306,284.0,9783,8.125,10.0
824.0,259,296,276,277.0,12714,8.666666667000001,10.0
1147.0,282,288,413,328.0,36395,7.666666667,11.0
2496.0,426,402,463,430.0,11118,8.0,15.0
752.0,193,256,230,226.0,9283,5.64,10.0
563.0,166,239,259,221.0,11274,4.848484849,5.0
823.0,168,190,221,193.0,7538,15.0,15.0
2741.0,353,407,402,387.0,13687,8.875,15.0
928.0,280,298,290,289.0,11652,6.428571429,5.0
1979.0,341,448,424,404.0,26847,13.71428571,10.0
736.0,271,292,291,285.0,11148,5.0,9.0
1384.0,225,267,299,264.0,16782,10.0,12.0
2205.0,337,416,449,401.0,20987,30.71428571,50.0
1546.0,572,572,633,592.0,21932,9.625,20.0
1497.0,425,448,475,449.0,17264,13.0,30.0
1023.0,371,414,398,394.0,18915,6.538461539,10.0
450.0,338,338,343,340.0,11558,14.16666667,15.0
1295.0,288,312,355,318.0,13839,7.9,8.0
804.0,238,355,319,304.0,14205,8.5,10.0
1998.0,449,469,494,471.0,17518,10.7,16.0
1673.0,379,539,445,454.0,19190,7.75,10.0
2750.0,311,345,350,335.0,16133,5.533333333,15.0
473.0,125,149,157,144.0,7798,11.5,5.0
438.0,129,164,131,141.0,7079,5.285714286,5.0
827.0,166,202,204,191.0,8507,14.75,16.0
2109.0,545,617,599,587.0,23170,11.125,20.0
1802.0,462,475,498,478.0,15816,20.18181818,34.0
763.0,142,165,210,172.0,9665,15.0,15.0
1671.0,416,462,429,436.0,15090,17.0,20.0
2509.0,250,598,380,409.0,22426,20.0,25.0
2619.0,358,358,344,353.0,15739,20.0,25.0
966.0,332,378,347,352.0,13293,12.33333333,15.0
1261.0,327,336,411,358.0,17854,10.20588235,12.0
1361.0,394,434,423,417.0,14607,15.4,19.0
1066.0,283,316,339,313.0,14352,6.47826087,12.0
1018.0,410,443,425,426.0,14721,8.578947368,10.0
2616.0,518,475,512,502.0,16660,20.0,20.0
601.0,205,208,246,220.0,8803,13.25,10.0
1216.0,617,646,654,639.0,25623,9.6,16.0
4004.0,752,750,770,757.0,31850,10.0,20.0
1292.0,482,566,522,523.0,22454,10.08333333,7.0
685.0,185,231,288,235.0,11857,8.666666667000001,10.0
1693.0,162,451,234,282.0,4738,8.625,12.0
1364.0,488,524,515,509.0,19446,15.0,11.0
918.0,284,353,360,332.0,12127,9.5,11.0
2088.0,513,535,581,543.0,21342,14.75,20.0
2411.0,417,416,454,429.0,12747,23.125,12.0
546.0,280,318,335,311.0,12044,8.647058824,5.0
1122.0,327,358,389,358.0,17608,14.0,20.0
4118.0,690,693,781,721.0,32964,15.0,15.0
2014.0,403,427,424,418.0,12093,25.0,25.0
3982.0,508,547,542,532.0,22722,9.772727273,8.0
753.0,164,225,233,207.0,10054,19.5,15.0
879.0,307,315,336,319.0,11428,6.818181817999999,16.0
1432.0,374,442,449,422.0,16125,14.0,17.0
1718.0,331,342,338,337.0,11549,16.66666667,25.0
1894.0,346,381,406,378.0,14162,10.22222222,12.5
758.0,402,418,418,413.0,13264,4.6363636360000005,4.0
1353.0,271,323,314,303.0,16236,9.777777777999999,15.0
1080.0,203,217,202,207.0,8973,17.33333333,20.0
619.0,216,268,266,250.0,10381,5.602941177000001,7.0
756.0,262,299,310,290.0,10756,8.0,9.0
961.0,211,236,247,231.0,12774,7.214285714,10.0
1729.0,492,497,507,499.0,14106,4.75,10.0
2145.0,686,710,737,711.0,25156,25.0,25.0
853.0,276,292,305,291.0,10799,13.0,15.0
1036.0,367,453,414,411.0,19983,6.076923077000001,8.0
1021.0,403,422,434,420.0,15259,7.8,8.0
1703.0,319,379,387,362.0,15729,15.57142857,25.0
3000.0,241,374,313,309.0,18402,15.0,25.0
1135.0,283,307,306,299.0,12206,14.0,20.0
1212.0,359,404,380,381.0,14320,13.0,20.0
2074.0,223,243,241,236.0,8735,23.11111111,50.0
2115.0,282,359,356,332.0,16473,25.0,25.0
1172.0,212,227,263,234.0,9728,17.6,20.0
870.0,310,332,361,334.0,11230,5.4375,11.0
979.0,372,394,409,392.0,13208,11.4,12.0
1091.0,278,289,304,290.0,13653,10.6,15.0
2464.0,442,371,441,418.0,11448,14.8,21.0
4696.0,655,692,695,681.0,21091,30.0,50.0
3095.0,644,655,682,660.0,20782,8.75,15.0
681.0,246,278,272,265.0,10423,5.375,5.0
2034.0,388,479,513,460.0,18405,18.0,20.0
